300;81;800;DECKEL MIT GEHÄUSE VERSCHALLEN;525-0005;10;50808002015;120-A-111/02-K-BNA;15.01.2025;15.01.2025;1000;1000;0;1.73;119
400;81;100;BUCHSEN RUNTERSCHRAUBEN.;525-0005;10;50808002015;120-A-111/02-K-BNA;15.01.2025;15.01.2025;1000;1000;0;1.6;120
500;81;720;BEDRUCKEN MIT TINTENSTRAHL-;525-0005;10;50808002015;120-A-111/02-K-BNA;15.01.2025;15.01.2025;1000;1000;0;0.68;121
600;81;600;KONTROLLE DRUCK UND VERPACKEN:;525-0005;10;50808002015;120-A-111/02-K-BNA;15.01.2025;15.01.2025;1000;1000;0;0.75;122
100;81;123;JOIN SPRING + TBY AND INSERT;525-0006;10;18858660011;121-D-611/02-C1Z-OR-BNA;24.12.2024;02.01.2025;30000;30000;0;169.35;123
200;81;100;SCREW IN SCREWS WITH FEED;525-0006;10;18858660011;121-D-611/02-C1Z-OR-BNA;02.01.2025;03.01.2025;30000;30000;0;48.05;124
300;81;730;PRINT WITH INKJET PRINTER;525-0006;10;18858660011;121-D-611/02-C1Z-OR-BNA;03.01.2025;07.01.2025;30000;30000;0;20.5;125
400;81;800;WELD STRAIN RELIEF WITH ULTRA-;525-0006;10;18858660011;121-D-611/02-C1Z-OR-BNA;07.01.2025;14.01.2025;30000;30000;0;70;126
500;81;100;SCREW TERMINAL BODIES DOWN;525-0006;10;18858660011;121-D-611/02-C1Z-OR-BNA;14.01.2025;15.01.2025;30000;30000;0;48.05;127
600;81;600;CONTROL PRINTING AND PACK:;525-0006;10;18858660011;121-D-611/02-C1Z-OR-BNA;15.01.2025;15.01.2025;30000;30000;0;23.5;128
100;81;900;INSERT CONTACT SPRING 111-FPH;624-0046;30;10816501011;ZA-FL/17-BNA;01.03.2024;04.03.2024;6000;700;5300;13.97;129
200;81;900;PRESS IN ALL W/TH SCREWDRIVER;624-0046;30;10816501011;ZA-FL/17-BNA;04.03.2024;04.03.2024;6000;700;5300;17.85;130
225;81;900;PRESS IN THE COVER;624-0046;30;10816501011;ZA-FL/17-BNA;04.03.2024;05.03.2024;6000;700;5300;10.35;131
250;81;900;INSERT PUSHERS INTO MOULDING;624-0046;30;10816501011;ZA-FL/17-BNA;05.03.2024;05.03.2024;6000;700;5300;10.35;132
300;81;900;DRUCKFLACHE EINS. MIT SPIRIT;624-0046;30;10816501011;ZA-FL/17-BNA;05.03.2024;05.03.2024;6000;700;5300;0.88;133
